id_Candidatura,nom_Candidatura,acronim_Candidatura,id_Municipi,nom_Municipi,vots,regidors,any
0,ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL, ERC-AM,25001,Abella de la Conca,64,4,2019
1,COMPROMÍS PEL MUNICIPI-CANDIDATURA DE PROGRÉS, CM-CP,25001,Abella de la Conca,43,1,2019
2,JUNTS PER ABELLA DE LA CONCA, JUNTS,25001,Abella de la Conca,15,0,2019
3,JOVES INDEPENDENTS PER ABELLA I BOIXOLS - ACORD MU, JIAB - AM,25001,Abella de la Conca,53,4,2015
4,INDEPENDENTS PER ABELLA DE LA CONCA - CANDIDATURA, IxAC-CP,25001,Abella de la Conca,34,1,2015
5,CONVERGÈNCIA I UNIÓ, CiU,25001,Abella de la Conca,18,0,2015
6,PARTIT DELS SOCIALISTES DE CATALUNYA - CANDIDATURA DE PROGRÉS, PSC-CP,8001,Abrera,3.006,11,2019
7,ESQUERRA REPUBLICANA DE CATALUNYA - Acord Municipal, ERC - AM,8001,Abrera,810,2,2019
8,ALTERNATIVA D'ABRERA, Ad'Ab,8001,Abrera,653,2,2019
9,ABRERA EN COMÚ-EN COMÚ GUANYEM, ABRERA EN COMÚ-ECG,8001,Abrera,533,1,2019
10,CIUTADANS-PARTIDO DE LA CIUDADANIA, Cs,8001,Abrera,426,1,2019
11,PARTIT POPULAR - PARTIDO POPULAR, PP,8001,Abrera,192,0,2019
12,JUNTS PER CATALUNYA-ABRERA, JxCAT-JUNTS,8001,Abrera,192,0,2019
13,PARTIT DELS SOCIALISTES DE CATALUNYA-CANDIDATURA D, PSC-CP,8001,Abrera,1.478,6,2015
14,ALTERNATIVA D'ABRERA, Ad'Ab,8001,Abrera,947,3,2015
15,ABRERA EN COMÚ-ENTESA, ABRERA EN C,8001,Abrera,898,3,2015
16,ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL, ERC-AM,8001,Abrera,555,2,2015
17,CIUTADANS-PARTIDO DE LA CIUDADANÍA, C's,8001,Abrera,445,1,2015
18,PARTIDO POPULAR, PP,8001,Abrera,362,1,2015
19,CONVERGÈNCIA I UNIÓ, CiU,8001,Abrera,306,1,2015
20,PLATAFORMA PER CATALUNYA, PxC,8001,Abrera,117,0,2015
21,ACORD D'ESQUERRA-ACORD MUNICIPAL, AD'E-AM,25003,Agramunt,1.637,9,2019
22,JUNTS PER AGRAMUNT, JxCat-JUNTS,25003,Agramunt,689,4,2019
23,ACORD D'ESQUERRA-ACORD MUNICIPAL, AD'E-AM,25003,Agramunt,1.714,11,2015
24,CONVERGÈNCIA I UNIÓ, CiU,25003,Agramunt,456,2,2015
25,PARTIT POPULAR DE CATALUNYA / PARTIDO POPULAR DE C, P.P.,25003,Agramunt,115,0,2015
26,JUNTS PER AGUILAR DE SEGARRA, JUNTS,8002,Aguilar de Segarra,123,5,2019
27,GENT D'AGUILAR - ACORD MUNICIPAL, GA - AM,8002,Aguilar de Segarra,60,2,2019
28,CONVERGÈNCIA I UNIÓ, CiU,8002,Aguilar de Segarra,111,7,2015
29,PARTIT POPULAR/PARTIDO POPULAR, PP,8002,Aguilar de Segarra,4,0,2015
30,JUNTS PER AGULLANA I L' ESTRADA, JUNTS,17001,Agullana,230,4,2019
31,Esquerra Republicana de Catalunya - Acord Municipal, ERC - AM,17001,Agullana,129,2,2019
32,La Llista - Agullana l' Estrada, LL-AE,17001,Agullana,96,1,2019
33,ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL, ERC - AM,17001,Agullana,189,3,2015
34,CONVERGÈNCIA I UNIÓ, CiU,17001,Agullana,137,2,2015
35,CANDIDATURA D'UNITAT POPULAR-POBLE ACTIU, CUP - PA,17001,Agullana,115,2,2015
36,JUNTS PER AIGUAFREDA, JUNTS,8014,Aiguafreda,675,6,2019
37,ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL, ERC -AM,8014,Aiguafreda,458,4,2019
38,CUP AIGUAFREDA-ALTERNATIVA MUNICIPALISTA, CUP-AMUNT,8014,Aiguafreda,149,1,2019
39,PARTIT POPULAR - PARTIDO POPULAR, PP,8014,Aiguafreda,94,0,2019
40,CONVERGÈNCIA I UNIÓ, CiU,8014,Aiguafreda,626,6,2015
41,ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL, ERC-AM,8014,Aiguafreda,267,2,2015
42,ESTIMEM AIGUAFREDA, ESTIMEM AIG,8014,Aiguafreda,264,2,2015
43,PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE)-CA, PSC-CP,8014,Aiguafreda,108,1,2015
44,PARTIDO POPULAR, P.P.,8014,Aiguafreda,56,0,2015
45,MÉS QUE MAI AIGUAMÚRCIA, JxCAT - JUNTS,43001,Aiguamúrcia,219,3,2019
46,TOTS SOM AIGUAMURCIA-ACORD MUNICIPAL (TSA-AM), TSA-AM,43001,Aiguamúrcia,150,2,2019
47,INDEPENDENTS PEL MUNICIPI D'AIGUAMURCIA-EN COMÚ GUANYEM, IMA-ECG,43001,Aiguamúrcia,148,2,2019
48,PARTIDO POPULAR, PP,43001,Aiguamúrcia,10,0,2019
49,CONVERGÈNCIA I UNIÓ, CiU,43001,Aiguamúrcia,166,3,2015
50,TOTS SOM AIGUAMÚRCIA - ACORD MUNICIPAL, TSA - AM,43001,Aiguamúrcia,142,2,2015
51,INDEPENDENTS PEL MUNICIPI D'AIGUAMÚRCIA, IMA-E,43001,Aiguamúrcia,139,2,2015
52,PARTIDO POPULAR, P.P.,43001,Aiguamúrcia,30,0,2015
53,PARTIT INDEPENDENT D'AIGUAVIVA, PIA,17002,Aiguaviva,157,3,2019
54,ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL, ERC-AM,17002,Aiguaviva,140,2,2019
55,JxCat - AIGUAVIVA, JxCAT-JUNTS,17002,Aiguaviva,108,2,2019
56,JUNTS PER AIGUAVIVA - INDEPENDENTS DE CATALUNYA, JXAIGUAVIVA-IDC,17002,Aiguaviva,49,0,2019
57,PARTIT DELS SOCIALISTES DE CATALUNYA-CANDIDATURA DE PROGRÉS, PSC-CP,17002,Aiguaviva,14,0,2019
58,PARTIT INDEPENDENT D'AIGUAVIVA, PIA,17002,Aiguaviva,178,3,2015
59,ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL, ERC - AM,17002,Aiguaviva,139,2,2015
60,CONVERGÈNCIA I UNIÓ, CiU,17002,Aiguaviva,67,1,2015
61,UNIÓ MUNICIPAL DE CATALUNYA, UMdC,17002,Aiguaviva,53,1,2015
62,JUNTS PER AITONA, JxCAT-JUNTS,25038,Aitona,848,8,2019
63,Aitona Republicana - Acord Municipal, AR - AM,25038,Aitona,270,2,2019
64,PARTIT POPULAR - PARTIDO POPULAR, PP,25038,Aitona,106,1,2019
65,CONVERGÈNCIA I UNIÓ, CiU,25038,Aitona,730,7,2015
66,ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL, ERC / ESQUE,25038,Aitona,336,3,2015
67,PARTIDO POPULAR, PP,25038,Aitona,178,1,2015
68,Independents per Els Alamús - Acord Municipal, IxEA -AM,25004,"Alamús, Els",253,4,2019
69,JUNTS PELS ALAMÚS, JxA - JxCAT - JUNTS,25004,"Alamús, Els",196,3,2019
70,Independents per Els Alamús - Acord Municipal, IxEA - AM,25004,"Alamús, Els",279,5,2015
71,CONVERGÈNCIA I UNIÓ, CiU,25004,"Alamús, Els",134,2,2015
72,ACTIVEM L'ALBAGÉS, ACTIVEM,25006,"Albagés, L'",119,3,2019
73,Moviment Republicà de l'Albagés - Acord Municipal, MRA - AM,25006,"Albagés, L'",67,2,2019
74,COMPROMÍS X L'ALBAGÉS - CANDIDATURA DE PROGRÉS, CxA - CP,25006,"Albagés, L'",45,1,2019
75,JUNTS PER L'ALBAGÉS, JxCAT - JUNTS,25006,"Albagés, L'",34,1,2019
76,ACTIVEM L'ALBAGÉS, ACTIVEM,25006,"Albagés, L'",157,4,2015
77,ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL, ERC-AM,25006,"Albagés, L'",81,2,2015
78,CONVERGÈNCIA I UNIÓ, CiU,25006,"Albagés, L'",42,1,2015
79,JUNTS PER ALBANYÀ, JUNTS,17003,Albanyà,67,5,2019
80,INDEPENDENTS D'ALBANYÀ- CANDIDATURA DE PROGRÉS, CP,17003,Albanyà,11,0,2019
81,CONVERGÈNCIA I UNIÓ, CiU,17003,Albanyà,74,5,2015
82,INDEPENDENTS D'ALBANYÀ - CANDIDATURA DE PROGRÉS, CP,17003,Albanyà,19,0,2015
83,PARTIT POPULAR DE CATALUNYA / PARTIDO POPULAR DE C, PP,17003,Albanyà,1,0,2015
84,JUNTS PER ALBATÀRREC, JxCAT - JUNTS,25007,Albatàrrec,575,7,2019
85,ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL, ERC - AM,25007,Albatàrrec,241,3,2019
86,CIUTADANS-PARTIDO DE LA CIUDADANIA, Cs,25007,Albatàrrec,115,1,2019
87,COMPROMÍS X ALBATÀRREC - CANDIDATURA DE PROGRÉS, CxA - CP,25007,Albatàrrec,33,0,2019
88,CONVERGÈNCIA I UNIÓ, CiU,25007,Albatàrrec,680,9,2015
89,HO ACONSEGUIREM, H.A.,25007,Albatàrrec,166,2,2015
90,ALBESA ETS TU-SUMA-T'HI-ACORD MUNICIPAL, AETS-AM,25008,Albesa,440,5,2019
91,JUNTS PER ALBESA, JxCat-JUNTS,25008,Albesa,407,4,2019
92,CONVERGÈNCIA I UNIÓ, CiU,25008,Albesa,591,7,2015
93,ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL, ERC-AM,25008,Albesa,225,2,2015
94,JUNTS PER L'ALBI, JxCAT - JUNTS,25009,"Albi, L'",333,5,2019
95,Tots Fem l'Albi - Acord Municipal, TFA - AM,25009,"Albi, L'",187,2,2019
96,CONVERGÈNCIA I UNIÓ, CiU,25009,"Albi, L'",310,4,2015
97,TOTS FEM L'ALBI - ACORD MUNICIPAL, TFA - AM,25009,"Albi, L'",229,3,2015
98,CONVIVÈNCIA, JUNTS,43002,Albinyana,712,6,2019
99,PARTIT DELS SOCIALISTES DE CATALUNYA-CANDIDATURA DEL PROGRES (PSC-CP), PSC-CP,43002,Albinyana,376,3,2019
100,ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL (ERC-AM), ERC-AM,43002,Albinyana,128,1,2019
101,CIUTADANS-PARTIDO DE LA CIUDADANIA, Cs,43002,Albinyana,117,1,2019
102,PARTIDO POPULAR, PP,43002,Albinyana,13,0,2019
103,CONVERGÈNCIA I UNIÓ, CiU,43002,Albinyana,624,6,2015
104,PARTIT DELS SOCIALISTES DE CATALUNYA-CANDIDATURA D, PSC-CP,43002,Albinyana,445,4,2015
105,ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL, ERC - AM,43002,Albinyana,190,1,2015
106,PARTIDO POPULAR, P.P.,43002,Albinyana,70,0,2015
107,ESQUERRA REPUBLICANA DE CATALUNYA-MOVIMENT D'ESQUERRES-ACORD MUNICIPAL, ERC-MES-AM,43003,"Albiol, L'",102,3,2019
108,UNITS PER L'ALBIOL, UxA-JUNTS,43003,"Albiol, L'",96,3,2019
109,SUMEM PER L'ALBIOL-CANDIDATURA DE PROGRÉS (CP), CP,43003,"Albiol, L'",48,1,2019
110,PODEMOS, PODEMOS,43003,"Albiol, L'",30,0,2019
111,Esquerra Republicana de Catalunya-Moviment d'Esque, ERC-MES-AM,43003,"Albiol, L'",108,3,2015
112,CONVERGÈNCIA I UNIÓ, CIU,43003,"Albiol, L'",91,3,2015
113,PARTIT DELS SOCIALISTES DE CATALUNYA-CANDIDATURA D, PSC-CP,43003,"Albiol, L'",51,1,2015
114,Partit Popular / Partido Popular, PP,43003,"Albiol, L'",2,0,2015
115,JUNTS PER CATALUNYA-ALBONS, JxCAT-JUNTS,17004,Albons,345,7,2019
116,CONVERGÈNCIA I UNIÓ, CiU,17004,Albons,232,7,2015
117,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUNICIPAL, ERC - AM,43004,Alcanar,2.451,8,2019
118,CANDIDATURA D'UNITAT POPULAR ALCANAR I LES CASES-ALTERNATIVA MUNICIPALISTA, CUP-AMUNT,43004,Alcanar,548,2,2019
119,"JUNTS PER ALCANAR, LES CASES I ALCANAR PLATJA", JUNTS,43004,Alcanar,484,1,2019
120,DESPERTA'T (D't) - FEDERACIO INDEPENDENTS DE CATALUNYA (FIC), D't - FIC,43004,Alcanar,359,1,2019
121,PARTIT DELS SOCIALISTES DE CATALUNYA - CANDIDATURA DE PROGRÉS, PSC-CP,43004,Alcanar,355,1,2019
122,PARTIDO POPULAR, PP,43004,Alcanar,232,0,2019
123,ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL, ERC - AM,43004,Alcanar,2.120,7,2015
124,CONVERGÈNCIA I UNIÓ, CiU,43004,Alcanar,612,2,2015
125,PARTIT DELS SOCIALISTES DE CATALUNYA - CANDIDATURA, PSC-CP,43004,Alcanar,540,2,2015
126,PARTIT POPULAR / PARTIDO POPULAR, PP,43004,Alcanar,467,1,2015
127,CANDIDATURA D'UNITAT POPULAR ALCANAR-POBLE ACTIU, CUP ALCANAR,43004,Alcanar,460,1,2015
128,SOM ALCANAR-FIC, SOM ALCANAR,43004,Alcanar,95,0,2015
129,Independents per Alcanó - Acord Municipal, IxA - AM,25010,Alcanó,129,5,2019
130,INDEPENDENTS X ALCANÓ - CANDIDATURA DE PROGRÉS, IxA - CP,25010,Alcanó,1,0,2019
131,INDEPENDENTS PER ALCANÓ-ACORD MUNICIPAL, IpA -AM,25010,Alcanó,97,5,2015
132,Partit Popular de Catalunya/Partido Popular de Cat, PP,25010,Alcanó,4,0,2015
133,Esquerra Republicana de Catalunya - Acord Municipal, ERC - AM,25011,Alcarràs,1.173,5,2019
134,JUNTS PER ALCARRÀS, JxCAT - JUNTS,25011,Alcarràs,998,4,2019
135,SEMPRE ALCARRÀS, SA,25011,Alcarràs,712,3,2019
136,PARTIT DELS SOCIALISTES DE CATALUNYA - CANDIDATURA DE PROGRÉS, PSC - CP,25011,Alcarràs,297,1,2019
137,CIUTADANS-PARTIDO DE LA CIUDADANIA, Cs,25011,Alcarràs,155,0,2019
138,PARTIT POPULAR - PARTIDO POPULAR, PP,25011,Alcarràs,95,0,2019
139,ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL, ERC - AM,25011,Alcarràs,1.330,7,2015
140,CONVERGÈNCIA I UNIÓ, CiU,25011,Alcarràs,606,3,2015
141,SEMPRE ALCARRÀS, SA,25011,Alcarràs,554,2,2015
142,PARTIT POPULAR DE CATALUNYA / PARTIDO POPULAR DE C, PP,25011,Alcarràs,203,1,2015
143,MOVIMENT D'ESQUERRES ALCARRÀS-ENTESA, MEA-E,25011,Alcarràs,170,0,2015
144,UNIDES I UNITS PER ALCOLETGE - PRIMÀRIES CATALUNYA, PRIMÀRIES,25012,Alcoletge,835,6,2019
145,PARTIT DELS SOCIALISTES DE CATALUNYA - CANDIDATURA DE PROGRÉS, PSC - CP,25012,Alcoletge,388,3,2019
146,Esquerra Republicana de Catalunya - Acord Municipal, ERC - AM,25012,Alcoletge,146,1,2019
147,CIUTADANS-PARTIDO DE LA CIUDADANIA, Cs,25012,Alcoletge,134,1,2019
148,PARTIT POPULAR - PARTIDO POPULAR, PP,25012,Alcoletge,36,0,2019
149,PARTIT DELS SOCIALISTES DE CATALUNYA - CANDIDATURA, PSC-CP,25012,Alcoletge,558,5,2015
150,ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL, ERC - AM,25012,Alcoletge,362,3,2015
151,CONVERGÈNCIA I UNIÓ, CiU,25012,Alcoletge,348,3,2015
152,PARTIT POPULAR DE CATALUNYA / PARTIDO POPULAR DE C, PP,25012,Alcoletge,64,0,2015
153,ALCOVERENCS PEL CANVI, A.p.C,43005,Alcover,1.345,7,2019
154,CANDIDATURA D'UNITAT POPULAR-ALTERNATIVA MUNICIPALISTA, CUP-AMUNT,43005,Alcover,701,4,2019
155,JUNTS PER ALCOVER, JUNTS,43005,Alcover,245,1,2019
156,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUNICIPAL, ERC-AM,43005,Alcover,175,1,2019
157,PARTIDO POPULAR, PP,43005,Alcover,66,0,2019
158,ALCOVERENCS PEL CANVI, A.P.C,43005,Alcover,1.008,7,2015
159,Candidatura d'Unitat Popular - Poble Actiu, CUP,43005,Alcover,450,3,2015
160,SOLIDARITAT PER LA INDEPENDENCIA, SI-Solidari,43005,Alcover,374,2,2015
161,Esquerra Republicana de Catalunya-Acord Municipal, ERC-AM,43005,Alcover,167,1,2015
162,CONVERGÈNCIA I UNIÓ, CIU,43005,Alcover,134,0,2015
163,Partit Popular/Partido Popular, PP,43005,Alcover,73,0,2015
164,JUNTS PER L'ALDEA, JUNTS,43904,"Aldea, L'",1.048,6,2019
165,L'ALDEA EN POSITIU - ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUNICIPAL, AeP - ERC - AM,43904,"Aldea, L'",897,5,2019
166,PODEMOS, PODEMOS,43904,"Aldea, L'",127,0,2019
167,ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL, ERC-AM,43904,"Aldea, L'",1.332,8,2015
168,CONVERGÈNCIA I UNIÓ, CiU,43904,"Aldea, L'",646,3,2015
169,ERC Construïm Aldover - Acord Municipal, ERCA - AM,43006,Aldover,316,4,2019
170,PARTIT DELS SOCIALISTES DE CATALUNYA - CANDIDATURA DE PROGRÉS, PSC - CP,43006,Aldover,223,3,2019
171,PARTIT DELS SOCIALISTES DE CATALUNYA-CANDIDATURA D, PSC-CP,43006,Aldover,222,3,2015
172,AVANCEM PER ALDOVER - ENTESA, APA-E,43006,Aldover,183,2,2015
173,CONVERGÈNCIA I UNIÓ, CiU,43006,Aldover,128,2,2015
174,JUNTS PER L'ALEIXAR, JUNTS,43007,"Aleixar, L'",262,4,2019
175,SOM-HI L'ALEIXAR - FEDERACIO D'INDEPENDENTS DE CATALUNYA, SOM-HI - FIC,43007,"Aleixar, L'",177,2,2019
176,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUNICIPAL, ERC - AM,43007,"Aleixar, L'",64,1,2019
177,CONVERGÈNCIA I UNIÓ, CiU,43007,"Aleixar, L'",250,4,2015
178,ESQUERRA REPUBLICANA PER L'ALEIXAR-ACORD MUNICIPAL, ERA - AM,43007,"Aleixar, L'",219,3,2015
179,PARTIDO POPULAR, P.P.,43007,"Aleixar, L'",22,0,2015
180,ESQUERRA REPUBLICANA DE CATALUNYA + SUMEM PER ALELLA - ACORD MUNICIPAL, ERC+SxA - AM,8003,Alella,1.974,7,2019
