id_Municipi,municipi,comarca,provincia,url,cens_2019,escrutat_2019,abstencio_2019,comptabilitzat_2019,null_2019,blanc_2019,cens_2015,escrutat_2015,abstencio_2015,comptabilitzat_2015,null_2015,blanc_2015
25001,Abella de la Conca,Pallars Jussà,Lleida,https://www.naciodigital.cat/municipals2019/municipi/25001/abella/conca,146,"100,00%",24,122,0,0,140,"100,00%",32,108,3,0
8001,Abrera,Baix Llobregat,Barcelona,https://www.naciodigital.cat/municipals2019/municipi/08001/abrera,9.100,"100,00%",3.240,5.860,16,32,8.851,"100,00%",3.628,5.223,55,60
25003,Agramunt,Urgell,Lleida,https://www.naciodigital.cat/municipals2019/municipi/25003/agramunt,3.774,"100,00%",1.279,2.495,50,119,3.831,"100,00%",1.453,2.378,37,56
8002,Aguilar de Segarra,Bages,Barcelona,https://www.naciodigital.cat/municipals2019/municipi/08002/aguilar/segarra,221,"100,00%",30,191,5,3,203,"100,00%",58,145,10,20
17001,Agullana,Alt Empordà,Girona,https://www.naciodigital.cat/municipals2019/municipi/17001/agullana,600,"100,00%",130,470,3,12,611,"100,00%",143,468,8,19
8014,Aiguafreda,Vallès Oriental,Barcelona,https://www.naciodigital.cat/municipals2019/municipi/08014/aiguafreda,2.012,"100,00%",577,1.435,13,46,1.958,"100,00%",600,1.358,9,28
43001,Aiguamúrcia,Alt Camp,Tarragona,https://www.naciodigital.cat/municipals2019/municipi/43001/aiguamurcia,708,"100,00%",170,538,4,7,706,"100,00%",211,495,6,12
17002,Aiguaviva,Gironès,Girona,https://www.naciodigital.cat/municipals2019/municipi/17002/aiguaviva,563,"100,00%",83,480,0,12,571,"100,00%",114,457,7,13
25038,Aitona,Segrià,Lleida,https://www.naciodigital.cat/municipals2019/municipi/25038/aitona,1.531,"100,00%",278,1.254,6,24,1.576,"100,00%",289,1.287,29,14
25004,"Alamús, Els",Segrià,Lleida,https://www.naciodigital.cat/municipals2019/municipi/25004/alamus,602,"100,00%",114,488,17,22,596,"100,00%",137,459,28,18
25006,"Albagés, L'",Garrigues,Lleida,https://www.naciodigital.cat/municipals2019/municipi/25006/albages,319,"100,00%",47,272,4,3,356,"100,00%",69,287,0,7
17003,Albanyà,Alt Empordà,Girona,https://www.naciodigital.cat/municipals2019/municipi/17003/albanya,106,"100,00%",26,80,1,1,110,"100,00%",16,94,0,0
25007,Albatàrrec,Segrià,Lleida,https://www.naciodigital.cat/municipals2019/municipi/25007/albatarrec,1.416,"100,00%",410,1.006,15,27,1.427,"100,00%",531,896,17,33
25008,Albesa,Noguera,Lleida,https://www.naciodigital.cat/municipals2019/municipi/25008/albesa,1.106,"100,00%",234,872,7,18,1.154,"100,00%",290,864,21,27
25009,"Albi, L'",Garrigues,Lleida,https://www.naciodigital.cat/municipals2019/municipi/25009/albi,606,"100,00%",62,544,13,11,644,"100,00%",82,562,9,14
43002,Albinyana,Baix Penedès,Tarragona,https://www.naciodigital.cat/municipals2019/municipi/43002/albinyana,1.892,"100,00%",519,1.373,16,11,1.827,"100,00%",444,1.383,26,28
43003,"Albiol, L'",Baix Camp,Tarragona,https://www.naciodigital.cat/municipals2019/municipi/43003/albiol,359,"100,00%",78,281,3,2,330,"100,00%",76,254,1,1
17004,Albons,Baix Empordà,Girona,https://www.naciodigital.cat/municipals2019/municipi/17004/albons,547,"100,00%",149,398,18,35,526,"100,00%",258,268,11,25
43004,Alcanar,Montsià,Tarragona,https://www.naciodigital.cat/municipals2019/municipi/43004/alcanar,6.610,"100,00%",2.072,4.538,53,56,6.678,"100,00%",2.237,4.441,73,74
25010,Alcanó,Segrià,Lleida,https://www.naciodigital.cat/municipals2019/municipi/25010/alcano,196,"100,00%",46,150,7,3,212,"100,00%",98,114,0,13
25011,Alcarràs,Segrià,Lleida,https://www.naciodigital.cat/municipals2019/municipi/25011/alcarras,5.447,"100,00%",1.958,3.489,16,43,5.452,"100,00%",2.495,2.957,31,63
25012,Alcoletge,Segrià,Lleida,https://www.naciodigital.cat/municipals2019/municipi/25012/alcoletge,2.442,"100,00%",866,1.576,21,16,2.389,"100,00%",1.018,1.371,19,20
43005,Alcover,Alt Camp,Tarragona,https://www.naciodigital.cat/municipals2019/municipi/43005/alcover,3.709,"100,00%",1.143,2.566,11,23,3.643,"100,00%",1.360,2.283,45,32
43904,"Aldea, L'",Baix Ebre,Tarragona,https://www.naciodigital.cat/municipals2019/municipi/43904/aldea,2.877,"100,00%",702,2.175,57,46,2.947,"100,00%",814,2.133,75,80
43006,Aldover,Baix Ebre,Tarragona,https://www.naciodigital.cat/municipals2019/municipi/43006/aldover,704,"100,00%",147,557,8,10,728,"100,00%",168,560,5,22
43007,"Aleixar, L'",Baix Camp,Tarragona,https://www.naciodigital.cat/municipals2019/municipi/43007/aleixar,652,"100,00%",141,511,6,2,644,"100,00%",139,505,6,8
8003,Alella,Maresme,Barcelona,https://www.naciodigital.cat/municipals2019/municipi/08003/alella,7.311,"100,00%",2.484,4.827,18,42,7.247,"100,00%",2.936,4.311,20,73
43008,Alfara de Carles,Baix Ebre,Tarragona,https://www.naciodigital.cat/municipals2019/municipi/43008/alfara/carles,311,"100,00%",100,211,16,18,307,"100,00%",38,269,6,3
25013,Alfarràs,Segrià,Lleida,https://www.naciodigital.cat/municipals2019/municipi/25013/alfarras,2.118,"100,00%",521,1.597,8,15,2.207,"100,00%",715,1.492,27,29
43009,Alforja,Baix Camp,Tarragona,https://www.naciodigital.cat/municipals2019/municipi/43009/alforja,1.405,"100,00%",368,1.037,31,26,1.444,"100,00%",507,937,32,34
